filename	source_url	bytes	status
rating-games_C75BA07C0A3BAA1B29AD21E750652C70.sgf	https://katagotraining.org/sgf-files/rating-games/C75BA07C0A3BAA1B29AD21E750652C70.sgf	7314	existing
rating-games_FBDA226DDD7C93523EAC8196EDF97E58.sgf	https://katagotraining.org/sgf-files/rating-games/FBDA226DDD7C93523EAC8196EDF97E58.sgf	8366	existing
training-games_3B2280E99DDF78C12F83081151E8A284.sgf	https://katagotraining.org/sgf-files/training-games/3B2280E99DDF78C12F83081151E8A284.sgf	12710	existing
training-games_86182278A518427AF40F1D8C4B891C77.sgf	https://katagotraining.org/sgf-files/training-games/86182278A518427AF40F1D8C4B891C77.sgf	17179	existing
rating-games_10BFDA8D63304E4366AB2985502AB25A.sgf	https://katagotraining.org/sgf-files/rating-games/10BFDA8D63304E4366AB2985502AB25A.sgf	7451	existing
training-games_A0EA6618F0C0AEE43A8E387B7F1CF80E.sgf	https://katagotraining.org/sgf-files/training-games/A0EA6618F0C0AEE43A8E387B7F1CF80E.sgf	16174	existing
rating-games_4781D021DD7208C30F95091C12659CF1.sgf	https://katagotraining.org/sgf-files/rating-games/4781D021DD7208C30F95091C12659CF1.sgf	7671	existing
training-games_87D33FB476E4933E58652F5F37E32CFB.sgf	https://katagotraining.org/sgf-files/training-games/87D33FB476E4933E58652F5F37E32CFB.sgf	8747	existing
training-games_3F8C93B4B7278ECC78D0DDF7EE299E6D.sgf	https://katagotraining.org/sgf-files/training-games/3F8C93B4B7278ECC78D0DDF7EE299E6D.sgf	7777	existing
training-games_BFB88A758A663E946427D29AF6410C65.sgf	https://katagotraining.org/sgf-files/training-games/BFB88A758A663E946427D29AF6410C65.sgf	17612	existing
training-games_0704C9D79F48BFF191861953A94C39EC.sgf	https://katagotraining.org/sgf-files/training-games/0704C9D79F48BFF191861953A94C39EC.sgf	15921	existing
rating-games_038C75BD7E6C009CC3D2F8CAD15C3093.sgf	https://katagotraining.org/sgf-files/rating-games/038C75BD7E6C009CC3D2F8CAD15C3093.sgf	6528	existing
rating-games_1570A5674A66806C5FE4FF3A5A9E43F5.sgf	https://katagotraining.org/sgf-files/rating-games/1570A5674A66806C5FE4FF3A5A9E43F5.sgf	6252	existing
rating-games_AB7A61D5599F4D616B23937753566DDF.sgf	https://katagotraining.org/sgf-files/rating-games/AB7A61D5599F4D616B23937753566DDF.sgf	4397	existing
rating-games_AB511DAA9B016E52894270FEED816E10.sgf	https://katagotraining.org/sgf-files/rating-games/AB511DAA9B016E52894270FEED816E10.sgf	4538	existing
training-games_162BD5AFC87F073B52B3FE3801018759.sgf	https://katagotraining.org/sgf-files/training-games/162BD5AFC87F073B52B3FE3801018759.sgf	10307	existing
